English,Hindi,Kannada,Marathi,Tamil,Bengali,Malayalam,Telugu
Arecanut,Kattha,Adike,Supari,Pakku,Supari,NA,NA
Banana,Kela,Bale,Kele,Vazhaipazam,Paka Kala,NA,NA
Barley,Jau,Barley,Satu,Baarli Arisi,Joba,NA,NA
Billion Dollar Grass,Sawan,NA,Samul,Kudraivallipillu,Sanwa,NA,NA
Black Gram,Urad,Uddu,Udid,Uzhundu,Mashkalai,NA,NA
Black Gram,Mash,Uddu,Udid,Uzhundu,Mashkalai,NA,NA
Black Pepper,Kali Mirich,Kare Menasu,Miri,Milagu,Gol Marich,NA,NA
Blonde Psyllium,,Isamgolu,Isabgola,NA,Ishopgu,NA,NA
Cardamom,Elachi,Yallaki,Veldode,Ealakai,Chota Elach,NA,NA
Carpet Legume,Sem,Avare,Wal,Mochhai,Shim,NA,NA
Cashew Nut,Kaju,Godambi,Kaju,Mundiri,Kaju Badam,NA,NA
Castor Seed,Rehri,Haralu,Erandi,Amanakku,Rehri,NA,NA
Casurina,Jungli Jhao,NA,NA,NA,NA,NA,NA
Chickling Vetch,Chattri Mattri,Chikkathogari,Lakh,Kaesari Paruppu,Khesar,NA,NA
Cluster Beans,Gaur,Gori Kayi,Guwar,Kothavarnkai,Gaur,NA,NA
Coconut,Narial,Thengu,Naral,Thennai,Narikel,NA,NA
Coffee,Coffee,Kafi,Kafi,Kaapi,Kafi,NA,NA
Coriander,Dhaniya,Kottambari,Kothimbir,Kothamalli,Dhaniya,NA,NA
Cotton,Kapas,Hatti,Kapus,Paruthi,Karpas,NA,NA
Cowpea,Lobia,Alasande,Chavli,Thatapayaru,Barbati,NA,NA
Cumin Seed,Jeera,Jeerige,Jire,Seeragam,Jira,NA,NA
Deccamhamp,Patsan,Holadapundrike,Ambadi,Pulimanchi,Bimli,NA,NA
Dry Chilli,Lalmirich,Menasina Kayi,Mirchi,Milakai,Lanka,NA,NA
Egyptian Clover,Barseem,NA,Bersim Gavat,NA,Berseem,NA,NA
Eucalyptus,Nilgiri,Nilgiri,NA,NA,NA,NA,NA
Finger Millet,Ragi,Ragi,Nagli,Keppai,Marwa,NA,NA
Fox Tail Millet,Korra,NA,NA,NA,NA,NA,NA
Garlic,Lehsoon,Belluli,Lasun,Poodu,Rashun,NA,NA
Gingelly,Til,Yellu,Til,Ellu,Til,NA,NA
Ginger,Adrakh,Shunti,Ale,Inji,Ada,NA,NA
Gram,Chana,Kadale,Harbara,Kadalai,Chola,NA,NA
Green Gram,Moong,Hesaru,Mug,Pachaipayru,Sonamug,NA,NA
Green Peas,Muttar,Batani,Matar,Pattani,Bara Matar,NA,NA
