,answers,changed-questions,district,month,query-type,state
0,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],control insect tell termite,AJMER,9,	Plant Protection	,RAJASTHAN
1,['Recommended for to know information about disease management of animal please contact to your animal hospital/veterinary doctor or contact 18001801199 or 18001805141'],department farmer information know number phone vitenary wants,SAGAR,5,Government Schemes,MADHYA PRADESH
2,['CONTACT WITH BLOCK VETERINARY OFFICER'],farming goat query,BALASORE,6,Credit,ODISHA
3,['Recommended for to grouth of flower and fruit spray Amino acid +folic acid(fantac plas )10-15 + humic acid 15-20 ml +liquid sulpher 35-40  ml per pump.'],black crop farmer flower fruit gram grouth information know want,SAGAR,4,Agriculture Mechanization,MADHYA PRADESH
4,"['Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.', 'Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water...', 'Recommended for Thiophanate methyl 70 % WP 30 gram, spreder ( Apsa 80, Dhanuwid, Sandovid)10 ml per pump..', 'Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.', 'recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for Spray tebuconazol 25% EC 200 ml at 200 liter of water.']",attack control crop farmer fungal information measures need regarding tomato,JABALPUR,2,	Plant Protection	,MADHYA PRADESH
5,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],control insect lab lab tell,ALWAR,8,	Plant Protection	,RAJASTHAN
6,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],control gram root rot tell,ALWAR,1,	Plant Protection	,RAJASTHAN
7,"['APRIL SOWING TIME CORIANDER', 'JUN JULAI SOWING TIME']",coriander sowing tell time,AJMER,5,Weather,RAJASTHAN
8,"['VARIETY OF MOTH = CZM-2, RMO-40, RMO-435, RMO-225, RMO-257']",moth tell vareity,BARMER,6,Varieties,RAJASTHAN
9,['Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer'],aphids attack chillies jassids thrips,RATNAGIRI,1,	Plant Protection	,MAHARASHTRA
10,"['VAREITY OF GARLIC=\r\nOoty 1, Singapore red, Rajali, Tabiti, Cerole, Madrasii']",garlic tell vareity,ALWAR,8,Vegetative Propagation and Tissue Culture,RAJASTHAN
11,['Recommended for to know information about complanit govt. issue  please contact to cief minister  help line 181'],complanit farmer govt information effect know wants,SAGAR,5,Government Schemes,MADHYA PRADESH
12,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],control tell termite,AJMER,4,	Plant Protection	,RAJASTHAN
13,['RECOMMENDED TO SPRAY POLYFEED (19-19-19)  OR MULTI-K 7 GM/ 1 LIT WATER'],cotton growth slow,BALANGIR,8,Cultural Practices,ODISHA
14,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml per pump.'],chillies control crop farmer know pest sucking want,SAGAR,5,	Plant Protection	,MADHYA PRADESH
15,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPERAY OF INDOXACARB .5 ML/LIT', 'SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER', 'SPRAY OF INDOXACARB .5 ML/LITRE', 'SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER', 'SPRAYOF INDOCACARB .5 ML/LITRE']",control leaf miner moong tell,BARMER,8,	Plant Protection	,RAJASTHAN
16,"['For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed or per liter of water.', 'For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed']",farmer information needs onion regarding seed seed treatment,SAGAR,9,	Plant Protection	,MADHYA PRADESH
17,['USE CHLOROPYRIFOS 20% EC 2 ML PER LITER WATER IN ROOT ZONE'],control mango plant tell termit,BANSWARA,3,	Plant Protection	,RAJASTHAN
18,['Propargite 57% EC (omite) 30 ml at per pump.'],attack chillie control crop farmer information measures mites need regarding,DAMOH,8,	Plant Protection	,MADHYA PRADESH
19,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml  per pump.'],control coriander crop farmer know pest sucking want,SAGAR,2,	Plant Protection	,MADHYA PRADESH
20,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water'],attack control crop farmer fungal information know nut pea wants,SAGAR,6,	Plant Protection	,MADHYA PRADESH
21,"['Phosphamidon 40 SL 1000 ml /ha\r\nProfenophos 50 EC 1000 ml/ha\r\nCarbofuran 3 G 17.5 kg/ha\r\nBuprofezin 25% SC 800 g/haFLONICAMID 50% (Ulala) for BPH, GLH, WBPH apply 60 gram per acre']",control farmer glh know paddy want,MANDLA,9,	Plant Protection	,MADHYA PRADESH
22,['RECOMMENDED TO SPRAY ZINC SULPHATE  % 10 GRAM / 1 LIT OF WATER'],cauliflower deficiency zinc,BALANGIR,4,	Plant Protection	,ODISHA
23,['?\tSpray recommended dose of Troijofos 40 EC 1000 Ml/hac.'],caterpillars control crop farmer information jamun measures needs regarding,JABALPUR,3,Field Preparation,MADHYA PRADESH
24,['DEEP COTTON IN NUVAN AND PLACE IT INTO THE HOLE CREATED BY STEM BORER AND COVER THAT HOLE WITH MUD'],attack borer mango fore,THANE,4,	Plant Protection	,MAHARASHTRA
25,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water\t.'],attack control crop farmer fungal information know sugarcane want,JABALPUR,4,	Plant Protection	,MADHYA PRADESH
26,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],bajra control ergot tell,BARMER,9,	Plant Protection	,RAJASTHAN
27,['control  of sucking pest attack in bottle gourd Spray of fipronil 5 % sc 250ml. per acre'],bottle control crop farmer gourd information know thrip want,SAGAR,5,	Plant Protection	,MADHYA PRADESH
28,"['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 5 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER']",control insect methi tell,BARMER,2,	Plant Protection	,RAJASTHAN
29,['Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.'],farmer growth increase information know maize wants,SAGAR,7,Cultural Practices,MADHYA PRADESH
30,"['3385 RU /QU JODPUR MANDI', 'NOT AVAILABLE', 'NOT CIMING', '3700 RU /QU GVAR RATE OF BARMER MANDI', '3725 RU QU GVAR RATE', '3590 RU /QU GVAR RATE', '3800 RU /QU GVAR RATE', 'NOT COMING', '3825 RU /QU']",barmer gvar mandi rate tell,BARMER,3,Weather,RAJASTHAN
31,"['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER']",control fly tell white,ALWAR,7,	Plant Protection	,RAJASTHAN
32,['BARLEY MANDI RATE 1430 RUPEES PER QT.'],barley mandi rate tell,ALWAR,4,Market Information,RAJASTHAN
33,"['Prfinofos 50 EC@ 1500 ml Spray per ha.', 'triazophos 40 EC @ 2 ml/lit.']",control crop defoliators farmer information know soybean want,SAGAR,8,	Plant Protection	,MADHYA PRADESH
34,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER  \r\nSPRAY OF MENCOZEB 2GM PAR LITAR WATER'],bhindi controle fungs pest tell,ALWAR,6,	Plant Protection	,RAJASTHAN
35,"['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",gram plant protection tell,ALWAR,2,	Plant Protection	,RAJASTHAN
36,['Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.'],control crop farmer gram information know pest sucking wants,SAGAR,2,	Plant Protection	,MADHYA PRADESH
37,"['Latest Market Prices Available Sagar, Madhya Pradesh (18/05/2017)\r\n Bina\tBengal Gram(Gram)\t350\tTonnes\tNR\tKanta\tFAQ\t4500\t5950\t5350\tRs/Quintal']",05 18 2017 available crop farmer gram information know latest madhya market market pradesh prices rate sagar wants,SAGAR,5,Market Information,MADHYA PRADESH
38,"['RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 2.5 GM / 1 LIT OF WATER', 'RECOMMENDED TO SPRAY COPPER OXYCHLORIDE @ 2.5 GRAM / 1 LIT OF WATER', 'SPRAY COPPER OXYCHLORIDE (BLITOX/BLUE COPPER) @ 3GM/1LIT WATER FOR DIE BACK IN CHILLI']",back chilli die,BALANGIR,8,	Plant Protection	,ODISHA
39,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",controle moong pest tell,BANSWARA,4,	Plant Protection	,RAJASTHAN
40,"['Bt COTTON VARIETY - MRC 7017, BIO SEED 6488, BIO SEED 6588, ANKUR 3028, ANKUR 3208']",bt cotton tell variety,ALWAR,5,Varieties,RAJASTHAN
41,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],chilli control fly tell white,ALWAR,4,	Plant Protection	,RAJASTHAN
42,['SPRAY OF DICOFOL 1.5 ML PER LITER WATER \r\nSPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER'],cilli control insect tell,ALWAR,9,	Plant Protection	,RAJASTHAN
43,['Spray Tricyclazole(BIM)-1ml or Carbendazim(Bavistin)-1.5gm or Kasugamycin-2ml per litre of water and repeat after 8-days'],blast control paddy,BALASORE,9,	Plant Protection	,ODISHA
44,['4-5 KG'],rate seed tell tinda,ALWAR,3,	Plant Protection	,RAJASTHAN
45,"['Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of paddy foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water']",farmer growth increase information know paddy wants,MANDLA,8,Fertilizer Use and Availability,MADHYA PRADESH
46,"['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER', 'SPRAY OF COC 3 GM/LITRE']",blight control mango tell,BANSWARA,4,	Plant Protection	,RAJASTHAN
47,"['VARIETY OF PUMPKIN --BAIDYABAITY ,GUAMALA,ARKACHANDAN,BHAIRAVI.', 'VARIETY OF PUMPKIN--BAIDYBATI,GUAMALA,ARKACHANDAN,PUSA BISWAS,', 'VARIETY OF PUMPKIN --BAIDYBATI,GUAMALA,ARKACHANDAN,PUSABISWAS', 'VNR 11, VNR 14, KANCHAN, VNR P 7, VNR P 6', 'VARIETY OF PUMPKIN--BAIDYA BATI,GUAMALA,ARKACHANDAN,PUSA BISWAS', 'VARIETY OF PUMPKIN --BAIDYA BATI,GUAMALA,ARKA CHANDAN,PUSA BISWAS', 'VARIETY OF PUMPKIN---BAIDYBATI,GUAMAL,ARKACHANDAN,BHAIRABI']",pumpkin variety,BALANGIR,3,Cultural Practices,ODISHA
48,['Recommended for Spray Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water. |'],control farmer information know lentil want wilt,SAGAR,2,	Plant Protection	,MADHYA PRADESH
