,answers,district,month,query-type,questions,state
0,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],AJMER,9,	Plant Protection	,control in insect me tell termite,RAJASTHAN
1,['Recommended for to know information about disease management of animal please contact to your animal hospital/veterinary doctor or contact 18001801199 or 18001805141'],SAGAR,5,Government Schemes,about department farmer information know number of phone to vitenary wants,MADHYA PRADESH
2,['CONTACT WITH BLOCK VETERINARY OFFICER'],BALASORE,6,Credit,farming goat query,ODISHA
3,['Recommended for to grouth of flower and fruit spray Amino acid +folic acid(fantac plas )10-15 + humic acid 15-20 ml +liquid sulpher 35-40  ml per pump.'],SAGAR,4,Agriculture Mechanization,about and black crop farmer flower fruit gram grouth information know of to want,MADHYA PRADESH
4,"['Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.', 'Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water...', 'Recommended for Thiophanate methyl 70 % WP 30 gram, spreder ( Apsa 80, Dhanuwid, Sandovid)10 ml per pump..', 'Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.', 'recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for Spray tebuconazol 25% EC 200 ml at 200 liter of water.']",JABALPUR,2,	Plant Protection	,attack control crop farmer fungal in information measures need of regarding tomato,MADHYA PRADESH
5,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,8,	Plant Protection	,control in insect lab lab me tell,RAJASTHAN
6,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,1,	Plant Protection	,about control gram in me root rot tell,RAJASTHAN
7,"['APRIL SOWING TIME CORIANDER', 'JUN JULAI SOWING TIME']",AJMER,5,Weather,coriander me of sowing tell time,RAJASTHAN
8,"['VARIETY OF MOTH = CZM-2, RMO-40, RMO-435, RMO-225, RMO-257']",BARMER,6,Varieties,me moth of tell vareity,RAJASTHAN
9,['Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer'],RATNAGIRI,1,	Plant Protection	,and aphids attack chillies jassids of on thrips,MAHARASHTRA
10,"['VAREITY OF GARLIC=\r\nOoty 1, Singapore red, Rajali, Tabiti, Cerole, Madrasii']",ALWAR,8,Vegetative Propagation and Tissue Culture,garlic me of tell vareity,RAJASTHAN
11,['Recommended for to know information about complanit govt. issue  please contact to cief minister  help line 181'],SAGAR,5,Government Schemes,about complanit farmer for govt information issue know to wants,MADHYA PRADESH
12,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],AJMER,4,	Plant Protection	,control for me of tell termite,RAJASTHAN
13,['RECOMMENDED TO SPRAY POLYFEED (19-19-19)  OR MULTI-K 7 GM/ 1 LIT WATER'],BALANGIR,8,Cultural Practices,cotton growth in slow,ODISHA
14,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml per pump.'],SAGAR,5,	Plant Protection	,about chillies control crop farmer in know of pest sucking to want,MADHYA PRADESH
15,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPERAY OF INDOXACARB .5 ML/LIT', 'SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER', 'SPRAY OF INDOXACARB .5 ML/LITRE', 'SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER', 'SPRAYOF INDOCACARB .5 ML/LITRE']",BARMER,8,	Plant Protection	,control in leaf me miner moong tell,RAJASTHAN
16,"['For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed or per liter of water.', 'For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed']",SAGAR,9,	Plant Protection	,farmer for information needs onion regarding seed seed treatment,MADHYA PRADESH
17,['USE CHLOROPYRIFOS 20% EC 2 ML PER LITER WATER IN ROOT ZONE'],BANSWARA,3,	Plant Protection	,control in mango me plant tell termit,RAJASTHAN
18,['Propargite 57% EC (omite) 30 ml at per pump.'],DAMOH,8,	Plant Protection	,attack chillie control crop farmer in information measures mites need of regarding,MADHYA PRADESH
19,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml  per pump.'],SAGAR,2,	Plant Protection	,about control coriander crop farmer in know of pest sucking to want,MADHYA PRADESH
20,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water'],SAGAR,6,	Plant Protection	,about attack control crop farmer fungal how in information know nut of pea to to wants,MADHYA PRADESH
21,"['Phosphamidon 40 SL 1000 ml /ha\r\nProfenophos 50 EC 1000 ml/ha\r\nCarbofuran 3 G 17.5 kg/ha\r\nBuprofezin 25% SC 800 g/haFLONICAMID 50% (Ulala) for BPH, GLH, WBPH apply 60 gram per acre']",MANDLA,9,	Plant Protection	,control farmer glh how in know paddy to to want,MADHYA PRADESH
22,['RECOMMENDED TO SPRAY ZINC SULPHATE  % 10 GRAM / 1 LIT OF WATER'],BALANGIR,4,	Plant Protection	,cauliflower deficiency in zinc,ODISHA
23,['?\tSpray recommended dose of Troijofos 40 EC 1000 Ml/hac.'],JABALPUR,3,Field Preparation,caterpillars control crop farmer in information jamun measures needs of regarding,MADHYA PRADESH
24,['DEEP COTTON IN NUVAN AND PLACE IT INTO THE HOLE CREATED BY STEM BORER AND COVER THAT HOLE WITH MUD'],THANE,4,	Plant Protection	,attack borer mango of on stem,MAHARASHTRA
25,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water\t.'],JABALPUR,4,	Plant Protection	,about attack control crop farmer fungal how in information know of sugarcane to to want,MADHYA PRADESH
26,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],BARMER,9,	Plant Protection	,bajra control ergot in me of tell,RAJASTHAN
27,['control  of sucking pest attack in bottle gourd Spray of fipronil 5 % sc 250ml. per acre'],SAGAR,5,	Plant Protection	,about bottle control crop farmer gourd how in information know thrip to to want,MADHYA PRADESH
28,"['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 5 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER']",BARMER,2,	Plant Protection	,control in insect me methi tell,RAJASTHAN
29,['Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.'],SAGAR,7,Cultural Practices,about farmer growth how increase information know maize of to to wants,MADHYA PRADESH
30,"['3385 RU /QU JODPUR MANDI', 'NOT AVAILABLE', 'NOT CIMING', '3700 RU /QU GVAR RATE OF BARMER MANDI', '3725 RU QU GVAR RATE', '3590 RU /QU GVAR RATE', '3800 RU /QU GVAR RATE', 'NOT COMING', '3825 RU /QU']",BARMER,3,Weather,barmer gvar mandi me rate tell,RAJASTHAN
31,"['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER']",ALWAR,7,	Plant Protection	,control fly me tell white,RAJASTHAN
32,['BARLEY MANDI RATE 1430 RUPEES PER QT.'],ALWAR,4,Market Information,barley mandi me rate tell,RAJASTHAN
33,"['Prfinofos 50 EC@ 1500 ml Spray per ha.', 'triazophos 40 EC @ 2 ml/lit.']",SAGAR,8,	Plant Protection	,about control crop defoliators farmer how in information know soybean to to want,MADHYA PRADESH
34,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER  \r\nSPRAY OF MENCOZEB 2GM PAR LITAR WATER'],ALWAR,6,	Plant Protection	,and bhindi controle fungs in me pest tell,RAJASTHAN
35,"['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",ALWAR,2,	Plant Protection	,gram in me plant protection tell,RAJASTHAN
36,['Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.'],SAGAR,2,	Plant Protection	,about control crop farmer gram how in information know pest sucking to to wants,MADHYA PRADESH
37,"['Latest Market Prices Available Sagar, Madhya Pradesh (18/05/2017)\r\n Bina\tBengal Gram(Gram)\t350\tTonnes\tNR\tKanta\tFAQ\t4500\t5950\t5350\tRs/Quintal']",SAGAR,5,Market Information,05 18 2017 about about available crop farmer gram information know latest madhya market market pradesh prices rate sagar to wants,MADHYA PRADESH
38,"['RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 2.5 GM / 1 LIT OF WATER', 'RECOMMENDED TO SPRAY COPPER OXYCHLORIDE @ 2.5 GRAM / 1 LIT OF WATER', 'SPRAY COPPER OXYCHLORIDE (BLITOX/BLUE COPPER) @ 3GM/1LIT WATER FOR DIE BACK IN CHILLI']",BALANGIR,8,	Plant Protection	,back chilli die in,ODISHA
39,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",BANSWARA,4,	Plant Protection	,controle in me moong pest tell,RAJASTHAN
40,"['Bt COTTON VARIETY - MRC 7017, BIO SEED 6488, BIO SEED 6588, ANKUR 3028, ANKUR 3208']",ALWAR,5,Varieties,bt cotton me tell variety,RAJASTHAN
41,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],ALWAR,4,	Plant Protection	,chilly control fly in me of tell white,RAJASTHAN
42,['SPRAY OF DICOFOL 1.5 ML PER LITER WATER \r\nSPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER'],ALWAR,9,	Plant Protection	,cilli control in insect me tell,RAJASTHAN
43,['Spray Tricyclazole(BIM)-1ml or Carbendazim(Bavistin)-1.5gm or Kasugamycin-2ml per litre of water and repeat after 8-days'],BALASORE,9,	Plant Protection	,blast control in paddy,ODISHA
44,['4-5 KG'],ALWAR,3,	Plant Protection	,me of rate seed tell tinda,RAJASTHAN
45,"['Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of paddy foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water']",MANDLA,8,Fertilizer Use and Availability,about farmer growth how increase information know of paddy to to wants,MADHYA PRADESH
46,"['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER', 'SPRAY OF COC 3 GM/LITRE']",BANSWARA,4,	Plant Protection	,blight control in mango me tell,RAJASTHAN
