,answers,district,month,query-type,questions,state
0,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],AJMER,9,	Plant Protection	,control in insect me tell termite,RAJASTHAN
1,['Recommended for to know information about disease management of animal please contact to your animal hospital/veterinary doctor or contact 18001801199 or 18001805141'],SAGAR,8,Government Schemes,about department farmer information know number of phone to vitenary wants,MADHYA PRADESH
2,['CONTACT WITH BLOCK VETERINARY OFFICER'],BALASORE,6,Credit,farming goat query,ODISHA
3,['Recommended for to grouth of flower and fruit spray Amino acid +folic acid(fantac plas )10-15 + humic acid 15-20 ml +liquid sulpher 35-40  ml per pump.'],SAGAR,4,Agriculture Mechanization,about and black crop farmer flower fruit gram grouth information know of to want,MADHYA PRADESH
4,"['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.', 'recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water']",JABALPUR,1,Weather,attack control crop farmer fungal in information measures need of regarding tomato,MADHYA PRADESH
5,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,8,	Plant Protection	,control in insect lab lab me tell,RAJASTHAN
6,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,1,	Plant Protection	,about control gram in me root rot tell,RAJASTHAN
7,"['APRIL SOWING TIME CORIANDER', 'JUN JULAI SOWING TIME']",AJMER,5,Weather,coriander me of sowing tell time,RAJASTHAN
8,"['VARIETY OF MOTH = CZM-2, RMO-40, RMO-435, RMO-225, RMO-257']",BARMER,6,Varieties,me moth of tell vareity,RAJASTHAN
9,['Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer'],RATNAGIRI,1,	Plant Protection	,and aphids attack chillies jassids of on thrips,MAHARASHTRA
10,"['VAREITY OF GARLIC=\r\nOoty 1, Singapore red, Rajali, Tabiti, Cerole, Madrasii']",ALWAR,8,Vegetative Propagation and Tissue Culture,garlic me of tell vareity,RAJASTHAN
11,['Recommended for to know information about complanit govt. issue  please contact to cief minister  help line 181'],SAGAR,5,Government Schemes,about complanit farmer for govt information issue know to wants,MADHYA PRADESH
12,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],AJMER,4,	Plant Protection	,control for me of tell termite,RAJASTHAN
13,['RECOMMENDED TO SPRAY POLYFEED (19-19-19)  OR MULTI-K 7 GM/ 1 LIT WATER'],BALANGIR,8,Cultural Practices,cotton growth in slow,ODISHA
14,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml per pump.'],SAGAR,5,	Plant Protection	,about chillies control crop farmer in know of pest sucking to want,MADHYA PRADESH
15,"['For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed', 'For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed or per liter of water.']",SAGAR,9,	Plant Protection	,farmer for information needs onion regarding seed seed treatment,MADHYA PRADESH
16,['USE CHLOROPYRIFOS 20% EC 2 ML PER LITER WATER IN ROOT ZONE'],BANSWARA,3,	Plant Protection	,control in mango me plant tell termit,RAJASTHAN
17,['Propargite 57% EC (omite) 30 ml at per pump.'],DAMOH,8,	Plant Protection	,attack chillie control crop farmer in information measures mites need of regarding,MADHYA PRADESH
18,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml  per pump.'],SAGAR,2,	Plant Protection	,about control coriander crop farmer in know of pest sucking to want,MADHYA PRADESH
19,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water'],SAGAR,6,	Plant Protection	,about attack control crop farmer fungal how in information know nut of pea to to wants,MADHYA PRADESH
20,"['Phosphamidon 40 SL 1000 ml /ha\r\nProfenophos 50 EC 1000 ml/ha\r\nCarbofuran 3 G 17.5 kg/ha\r\nBuprofezin 25% SC 800 g/haFLONICAMID 50% (Ulala) for BPH, GLH, WBPH apply 60 gram per acre']",MANDLA,9,	Plant Protection	,control farmer glh how in know paddy to to want,MADHYA PRADESH
21,['?\tSpray recommended dose of Troijofos 40 EC 1000 Ml/hac.'],JABALPUR,3,Field Preparation,caterpillars control crop farmer in information jamun measures needs of regarding,MADHYA PRADESH
22,['DEEP COTTON IN NUVAN AND PLACE IT INTO THE HOLE CREATED BY STEM BORER AND COVER THAT HOLE WITH MUD'],THANE,4,	Plant Protection	,attack borer mango of on stem,MAHARASHTRA
23,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water\t.'],JABALPUR,4,	Plant Protection	,about attack control crop farmer fungal how in information know of sugarcane to to want,MADHYA PRADESH
24,['control  of sucking pest attack in bottle gourd Spray of fipronil 5 % sc 250ml. per acre'],SAGAR,5,	Plant Protection	,about bottle control crop farmer gourd how in information know thrip to to want,MADHYA PRADESH
25,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,control in insect me methi tell,RAJASTHAN
26,['Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.'],SAGAR,7,Cultural Practices,about farmer growth how increase information know maize of to to wants,MADHYA PRADESH
27,"['3385 RU /QU JODPUR MANDI', '3725 RU QU GVAR RATE', '3800 RU /QU GVAR RATE', 'NOT AVAILABLE', '3700 RU /QU GVAR RATE OF BARMER MANDI', 'NOT CIMING', 'NOT COMING', '3825 RU /QU']",BARMER,3,Weather,barmer gvar mandi me rate tell,RAJASTHAN
28,"['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER', 'SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER']",ALWAR,6,	Plant Protection	,control fly me tell white,RAJASTHAN
29,['BARLEY MANDI RATE 1430 RUPEES PER QT.'],ALWAR,4,Market Information,barley mandi me rate tell,RAJASTHAN
30,['Prfinofos 50 EC@ 1500 ml Spray per ha.'],SAGAR,8,	Plant Protection	,about control crop defoliators farmer how in information know soybean to to want,MADHYA PRADESH
